Print Credit Memo;Print Credit Memo;Gutschrift drucken
Sales Order Statistics;Sales Order Statistics;Auftragsstatistik
Print Invoice;Print Invoice;Rechnung drucken
Show Customer Comment;Show Customer Comment;Debitoren Kommentare anzeigen
Delivery Note (elfo);Delivery Note (elfo);Lieferschein (elfo)
Invoice (elfo);Invoice (elfo);Rechnung (elfo)
Print the picking list for the sales order.;Print the picking list for the sales order.;Drucken der Kommissionierliste für den Kundenauftrag
Picking List (elfo);Picking List (elfo);Rüstschein (elfo)
Packing List (elfo);Packing List (elfo);Packliste (elfo)
Packing 1;Packing 1;Elfo
Current Item Comment;Current Item Comment;Artikel Kommentare
Calculate the external work centers that are managed by a supplier under contract.;Calculate the external work centers that are managed by a supplier under contract.;Die externen Arbeitsplatzgruppen berechnen, die von einem Zulieferer verwaltet werden.
Calculate Subcontracts;Calculate Subcontracts;Fremdarbeit berechnen
Saldo;Saldo;Saldo
Imported File;Imported File;Importierte Datei
Date Modified;Date Modified;Zuletzt geändert
Calc. Amount;Calc. Amount;Kalk. Betrag
Calc. Time;Calc. Time;Kalk. Zeit
Person;Person;Person
Personell %-Share;Personell %-Share;Personal %-Anteil
Personell Time;Personell Time;Personal Zeit
 ,Planned,In Progress,Finished; ,Planned,In Progress,Finished; ,Geplant,In Bearbeitung,Beendet
Unattended Run-Time;Unattended Run-Time;Unbeaufsichtigte Zeit
current;current;aktuell
curr. Prod.;curr. Prod.;akt. PR
curr. Purch.;curr. Purch.;akt. EK
curr. Sales;curr. Sales;akt. VK
Bitmap Test;Bitmap Test;Bitmap Test
Company Functions;Company Functions;Mandant Funktionen
elfo,TmP;elfo,TmP;elfo,WZB
Consumtion;Consumtion;Verbrauch
Copyfilter;Copyfilter;Kopiefilter
Documentation Liable;Documentation Liable;Dokumentenpflichtig
Food;Food;Lebensmittel
PostSelect_FI;PostSelect_FI;PostSelect_FI
PurchDoc_FI;PurchDoc_FI;Einkaufstyp
Request for Quotation,Purchase Order,Delivery Note,Invoice,Credit Note,Proforma Invoice,Blanket Order;Request for Quotation,Purchase Order,Delivery Note,Invoice,Credit Note,Proforma Invoice,Blanket Order;Offertanfrage,Bestellung,Lieferschein,Rechnung,Gutschrift,Profrma Rechnung,Rahmenauftrag
QtyType_FI;QtyType_FI;Mengentyp
General,Invoicing,Shipping,,,,,,,Outstanding;General,Invoicing,Shipping,,,,,,,Outstanding;General,Invoicing,Shipping,,,,,,,Outstanding
ReqWind_FI;ReqWind_FI;Erforderlicher Wind
SalesDoc_FI;SalesDoc_FI;Verkaufstyp
SysPrint_FI;SysPrint_FI;System Drucker
VAT Registration No. DE;VAT Registration No. DE;MWST Nr. DE
Contact Name;Contact Name;Kontaktart
Company,Person;Company,Person;Unternehmen,Person
Company Address;Company Address;Mandanten Adresse
Company Salutation;Company Salutation;Firmen Anrede
Contact Source;Contact Source;Kontakt Herkunft
 ,Elfo Kontakt,WZB Kontakt; ,Elfo Kontakt,WZB Kontakt; ,Elfo Kontakt,WZB Kontakt
Division;Division;Abteilung
E-Mail 2;E-Mail 2;E-Mail 2
Synchronisation;Synchronisation;Synchronization
County in Post Code;County in Post Code;Kanton in PLZ
Name (E);Name (E);Name (E)
Name (F);Name (F);Name (F)
Name (Outlook);Name (Outlook);Name (Outlook)
Territory;Territory;Gebiet
without Post Code;without Post Code;ohne PLZ
Totalbetrag2;Totalbetrag2;Totalbetrag2
Totalbetrag2 (MW);Totalbetrag2 (MW);Totalbetrag2 (MW)
"""%1"" ist identisch mit ""%2"".";"""%1"" ist identisch mit ""%2"".";"""%1"" ist identisch mit ""%2""."
Barcode;Barcode;Barcode
Chainmainnr.;Chainmainnr.;Mitgliedsnr.
Contact No.;Contact No.;Kontakt Nr.
Debitornr. Elfo;Debitornr. Elfo;Debitornr. Elfo
Print Cust.Item.No. as Barcode;Print Cust.Item.No. as Barcode;Kunden Artikel Nr. als Barcode drucken
Print Ext.Doc.No. as Barcode;Print Ext.Doc.No. as Barcode;Externe Dokument Nr. als Barcode drucken
Print Lot No. as Barcode;Print Lot No. as Barcode;Chargen Nr. als Barcode drucken
Print Shipment Date as Barcode;Print Shipment Date as Barcode;Lieferungsdatum als Barcode drucken
Print Shipment No. as Barcode;Print Shipment No. as Barcode;Lieferungsnr. als Barcode drucken
Print Shipped Qty. as Barcode;Print Shipped Qty. as Barcode;Gelieferte Menge als Barcode drucken
Print Tool No. as Barcode;Print Tool No. as Barcode;Werkzeug Nr. als Barcode drucken
Print Origin;Print Origin;Ursprungsland drucken
Source Country print;Source Country print;Ursprungsland drucken
Li;Li;Zeilenrabatte
Prices;Prices;Preise
Versicherung drucken;Versicherung drucken;Versicherung drucken
 ,Ship,Invoice,All,,,,,,Discard; ,Ship,Invoice,All,,,,,,Discard; ,Liefern,Fakturieren,Alle,,,,,,Ausgeschieden
Item Variants to block;Item Variants to block;PDM gesperrte Artikelvarianten
Blocked on PDM;Blocked on PDM;Gesperrt auf PDM
Production BOM No.;Production BOM No.;Fert.-Stücklistennr.
Sperrgrund;Sperrgrund;Sperrgrund
 ,entsorgt,Ersatzteile,zurück an Leasinggeber,sonstige,verkauft ; ,entsorgt,Ersatzteile,zurück an Leasinggeber,sonstige,verkauft ; ,entsorgt,Ersatzteile,zurück an Leasinggeber,sonstige,verkauft 
Total Abschreibungsbücher;Total Abschreibungsbücher;Total Abschreibungsbücher
Total verkauft;Total verkauft;Total verkauft
SortFieldDTA;SortFieldDTA;SortFieldDTA
Fremdsprachencode;Fremdsprachencode;Fremdsprachencode
Local Countrycode;Local Countrycode;Mandantenlandcode
Local Languagecode;Local Languagecode;Mandantensprachcode
Contact Via;Contact Via;Nummer/Adresse (CC)
No_1;No_1;Nr. 1
No_2;No_2;Nr. 2
No_3;No_3;Nr. 3
No_4;No_4;Nr. 4
Opt_1;Opt_1;Option 1
Opt_2;Opt_2;Option 2
Opt_3;Opt_3;Option 3
Opt_4;Opt_4;Option 4
Permission;Permission;Sichtbar für
All User,Super User,Source;All User,Super User,Source;Alle,Super User,Verursacher
Bundle Nos.;Bundle Nos.;Gebinde Nummern
not available Location;not available Location;nicht verfügb. Lagerorte
PostMethod_FI;PostMethod_FI;PostMethod_FI
Def. Costing Method;Def. Costing Method;Vorg.-Lagerabgangsmethode
FIFO,LIFO,Specific,Average,Standard;FIFO,LIFO,Specific,Average,Standard;FIFO,LIFO,Spezifisch,Durchscnitt,Standard
Def. Gen. Prod. Posting Group;Def. Gen. Prod. Posting Group;Vorg.-Produktbuchungsgruppe
Def. Inventory Posting Group;Def. Inventory Posting Group;Vorg.-Lagerbuchungsgruppe
Def. Tax Group Code;Def. Tax Group Code;Vorg.-Salestaxgruppe
Def. VAT Prod. Posting Group;Def. VAT Prod. Posting Group;Vorg.-MWST-Produktbuchungsgr.
Customer Information;Customer Information;Kunden Information
Last Modified by;Last Modified by;Aktualisiert von
Our Customer No.;Our Customer No.;Unsere Kundennr.
Print Customer Information;Print Customer Information;Kunden Information drucken
%1 at %2;%1 at %2;%1 am %2
"Do you like to ""%1"" then ""Pilot Run"" for this Item?";"Do you like to ""%1"" then ""Pilot Run"" for this Item?";"Diese Funktion ist für ""%1 = %2"" nicht möglich."
You cannot change %1 because there are one or more open ledger entries for this item.;You cannot change %1 because there are one or more open ledger entries for this item.;Sie können %1 nicht ändern, da Lagerbestand auf diesem Artikel vorhanden ist.
Cu;Cu;Cu
Zusatztexte;Zusatztexte;Zusatztexte
Unit of Measure Filter;Unit of Measure Filter;Einheitenfilter
Default Variant Code;Default Variant Code;Standard Variantencode
Versandform;Versandform;Versandform
No of Drawings;No of Drawings;Anzahl Zeichnungen
Draw No.;Draw No.;Zeichnung Nr.
Electrode;Electrode;Elektrode
Purchase,Sale,Positive Adjmt.,Negative Adjmt.,Transfer,Consumption,Output,,,,Inventory,Quarantine;Purchase,Sale,Positive Adjmt.,Negative Adjmt.,Transfer,Consumption,Output,,,,Inventory,Quarantine;Einkauf,Verkauf,Zugang,Abgang,Umlagerung,Verbrauch,Istmeldung,,,,Lagerbestand,Sperrlager
Foodsestion;Foodsestion;Lebensmittelbereich
Income to Location;Income to Location;Wareneingang auf Lager
Inventory at Date;Inventory at Date;Fakt.-Bestand per Datum
Inventory blocked;Inventory blocked;Lagerbestand auf Sperrlager
Artikelherkunft;Artikelherkunft;Artikelherkunft
 ,Elfo Artikel,WZB Artikel; ,Elfo Artikel,WZB Artikel; ,Elfo Artikel,WZB Artikel
Job extern;Job extern;Projekt (nicht in NAV)
Job Count;Job Count;Projekt Anzahl
Job;Job;Projekt
Kundennr. WZB alt;Kundennr. WZB alt;Kundennr. WZB alt
Material quality;Material quality;Material Qualität
Net Change (Qty.);Net Change (Qty.);Bewegung (Menge)
No Scrap;No Scrap;Kein Ausschussverbrauch
Output Filter;Output Filter;Istmeldung Filter
Pilot Run;Pilot Run;0-Serie Datum
Status PilotRun;Status PilotRun;0-Serie Status
 ,Pilot Run,Release,,,,,,,Reset; ,Pilot Run,Release,,,,,,,Reset; ,0-Serie,Freigabe,,,,,,,Storno
Finished Quantity on Prod. Order;Finished Quantity on Prod. Order;Fertiggemeldet in FA
Qty. on Purch. Order;Qty. on Purch. Order;Menge in Rahmenbestellung
Qty. on Sales Order;Qty. on Sales Order;Menge in Rahmenauftrag
Qty. on Subcontracting;Qty. on Subcontracting;Menge in Fremdfertigung
Box Qty. per Unit of Measure;Box Qty. per Unit of Measure;Menge per VPE
Bundle Qty. per Unit of Measure;Bundle Qty. per Unit of Measure;Menge per Gebinde
Transport Qty.;Transport Qty.;Menge per Palette
VK-Bemerkung;VK-Bemerkung;VK Bemerkung
Sprue Share (kg);Sprue Share (kg);Anguss Anteil (kg)
Sprue Share (Y/N);Sprue Share (Y/N);Anguss vorhaden
UnDef,No,Yes;UnDef,No,Yes;nicht definiert,Nein,Ja
Variant Required;Variant Required;Variante notwendig
Anfahrtteile/Musterteile;Anfahrtteile/Musterteile;Anfahrtteile/Musterteile
Die Daten vom Scanner konnten nicht eingelesen werden.;Die Daten vom Scanner konnten nicht eingelesen werden.;Die Daten vom Scanner konnten nicht eingelesen werden.
SPEDI.txt;SPEDI.txt;SPEDI.txt
C:\Scanner\Upload\%1;C:\Scanner\Upload\%1;C:\Scanner\Upload\%1
SPEDI.bat;SPEDI.bat;SPEDI.bat
Bundle Type;Bundle Type;Gebindetyp
Empty,BundleTransfer,BundleOutput;Empty,BundleTransfer,BundleOutput;Empty,BundleTransfer,BundleOutput
Gebinde Nr.;Gebinde Nr.;Gebinde Nr.
Bundle Error;Bundle Error;Gebindefehler
 ,Gebinde existiert nicht,Gebinde nicht zurückgemeldet,Gebinde ist verbraucht,Lagerplatz ungültig,Neuer Lagerort ungültig,Menge ungültig,Menge>Restmenge,!!!,9,10,11,12,13,14,15,16,17,18,19,ungeprüft; ,Gebinde existiert nicht,Gebinde nicht zurückgemeldet,Gebinde ist verbraucht,Lagerplatz ungültig,Neuer Lagerort ungültig,Menge ungültig,Menge>Restmenge,!!!,9,10,11,12,13,14,15,16,17,18,19,ungeprüft; ,Gebinde existiert nicht,Gebinde nicht zurückgemeldet,Gebinde ist verbraucht,Lagerplatz ungültig,Neuer Lagerort ungültig,Menge ungültig,Menge>Restmenge,!!!,9,10,11,12,13,14,15,16,17,18,19,ungeprüft
Bundle Function;Bundle Function;Gebinde Funktion
 ,E (Einlagerung),A (Auslagerung),AT (Auslagerung Teilmenge),U (Umlagerung),V (Verbrauch),VT (Verbrauch Teilmenge),,,,AA (Auslagerung ALS); ,E (Einlagerung),A (Auslagerung),AT (Auslagerung Teilmenge),U (Umlagerung),V (Verbrauch),VT (Verbrauch Teilmenge),,,,AA (Auslagerung ALS); ,E (Einlagerung),A (Auslagerung),AT (Auslagerung Teilmenge),U (Umlagerung),V (Verbrauch),VT (Verbrauch Teilmenge),,,,AA (Auslagerung ALS)
Buchungsbenutzer;Buchungsbenutzer;Buchungsbenutzer
Receiving No.;Receiving No.;Wareneingang Nr.
Anfahrt- und Musterteile;Anfahrt- und Musterteile;Anfahrt- und Musterteile
Last Delivery;Last Delivery;Letzte Lieferung
Sales Amount (Actual);Sales Amount (Actual);Verkaufsbetrag (tatsächl.)
Posted by;Posted by;Gebucht von
Item Unit of Measure;Item Unit of Measure;Artikel Einheiten
 ,Box,Bundle,Transport; ,Box,Bundle,Transport; ,VPE,Gebinde,Palette
Priority;Priority;Priorität
Main,Second,Third,Forth,Other;Main,Second,Third,Forth,Other;Haupt,Lief.2,Lief.3,Lief.4,Lief...
Soll die letzte Version im Projekt aktualisiert werden?;Soll die letzte Version im Projekt aktualisiert werden?;Soll die letzte Version im Projekt aktualisiert werden?
No of PO;No of PO;Anzahl FA
Projektherkunft;Projektherkunft;Projektherkunft
 ,Elfo Projekt,WZB Projekt; ,Elfo Projekt,WZB Projekt; ,Elfo Projekt,WZB Projekt
Template;Template;Vorlage
Final Dimension;Final Dimension;Fertigmass
Heat treating;Heat treating;Wärme Behandlung
Workshop Material;Workshop Material;Material
Part List;Part List;Stück Liste
Pos.;Pos.;Pos.
Purchasing Dimension;Purchasing Dimension;Bestellmass
Replenishment System;Replenishment System;Beschaffung
 ,Purchase,Prod. Order; ,Purchase,Prod. Order; ,Einkauf,Fertigung
Schedule (Total Cost);Schedule (Total Cost);Plan (Zeit)
Surface Treating;Surface Treating;Oberflächen Behandlung
PartList;PartList;Teilliste
Auto Posttype;Auto Posttype;Autobuchungsart
 ,Output,Consum. intern,Sales,Consum. Extern; ,Output,Consum. intern,Sales,Consum. Extern; ,Istmeldung,Komponenten,Verkauf,Fremdfertigung
OC Sortindex;OC Sortindex;OC Sortierkennzahl
Prod. Order Filter;Prod. Order Filter;FA Filter
Prod. Order Need (Qty.);Prod. Order Need (Qty.);FA-Bedarf (Menge)
Scheduling direction;Scheduling direction;Planungsrichtung
Forward,Backward;Forward,Backward;Vorwärts,Rückwärts
Alle Artikel,Elfo Artikel,WZB Artikel;Alle Artikel,Elfo Artikel,WZB Artikel;Alle Artikel,Elfo Artikel,WZB Artikel
Planninghorizon;Planninghorizon;Planungshorizont
Temporärer Pfad;Temporärer Pfad;Temporärer Pfad
Outlook Contact Nos.;Outlook Contact Nos.;Outlook Kontaktnummern
Das Gebinde %1 wurde bereits zurückgemeldet.;Das Gebinde %1 wurde bereits zurückgemeldet.;Das Gebinde %1 wurde bereits zurückgemeldet.
Das Gebinde %1 wurde noch nicht zurückgemeldet.;Das Gebinde %1 wurde noch nicht zurückgemeldet.;Das Gebinde %1 wurde noch nicht zurückgemeldet.
Das Gebinde %1 wurde bereits verbraucht.;Das Gebinde %1 wurde bereits verbraucht.;Das Gebinde %1 wurde bereits verbraucht.
Sie müssen einen Lagerort eingeben.;Sie müssen einen Lagerort eingeben.;Sie müssen einen Lagerort eingeben.
There is nothing to post.;There is nothing to post.;Es gibt nichts zu buchen.
IPK.txt;IPK.txt;IPK.txt
IPK.bat;IPK.bat;IPK.bat
Der FA %1 existiert nicht.;Der FA %1 existiert nicht.;Der FA %1 existiert nicht.
Balance_FI;Balance_FI;Balance_FI
UnDef,Incom,Scrap,Scrap2;UnDef,Incom,Scrap,Scrap2;UnDef,Incom,Scrap,Scrap2
Bundle No.;Bundle No.;Gebinde Nr.
 ,NotExist,NotAtStock,NotOutst,NoBin,NoLoc,NoQty,QtyToOutst,Other; ,NotExist,NotAtStock,NotOutst,NoBin,NoLoc,NoQty,QtyToOutst,Other; ,existiert nicht,nicht zurückgemeldet,verbraucht,Lagerplatz ungültig,Lagerort ungültig,Menge ungültig,Menge>Restmenge,!!!
Posting Type;Posting Type;Buchungsart
NoDef,Item,Prod,Extern;NoDef,Item,Prod,Extern;NoDef,Artikel,Fert,Extern
Post Pushaction;Post Pushaction;Startfunktion
,Collect,Post,,,,,,,Cancel;,Collect,Post,,,,,,,Cancel;,Nein,Ja,,,,,,,Abbrechen
Scanner;Scanner;Scanner
Posted Bundle;Posted Bundle;Gebinde gebucht
NoDef,Bundle,,Scan;NoDef,Bundle,,Scan;NoDef,Bundle,,Scan
Demand Date;Demand Date;Planungshorizont
NAV,Bundle;NAV,Bundle;NAV,Bundle
Menge Ausschuss;Menge Ausschuss;Menge Ausschuss
QtyScrap2;QtyScrap2;Ausschuss Menge 2
Menge Fertig;Menge Fertig;Menge Fertig
Application Group;Application Group;Anwendungs Gruppe
Bank Verbindung;Bank Verbindung;Bank Verbindung
Inv. Order No.;Inv. Order No.;Inv. Auftragsnr.
"""%1 = %2"" exisitiert nicht.";"""%1 = %2"" exisitiert nicht.";"""%1 = %2"" exisitiert nicht."
Address Format;Address Format;Adressformat
Post Code+City,City+Post Code,City+County+Post Code,Country;Post Code+City,City+Post Code,City+County+Post Code,Country;PLZ+Ort,Ort+PLZ,Ort+Kanton+PLZ,Landspezifisch
Used;Used;Verw. Kontakt
Outlook;Outlook;Outlook
Measureaccurancy;Measureaccurancy;Prüfschärfe
Basic size / Tolerance;Basic size / Tolerance;Nennmass / Toleranz
Measureplace;Measureplace;Prüfort
Measuretool;Measuretool;Prüfmittel
Visum notwendig;Visum notwendig;Visum notwendig
Alloc. Pers.l Time;Alloc. Pers.l Time;Zugew. Pers. Zeit
Lot Mng. Space Line;Lot Mng. Space Line;Chargen Leerzeilen
Provide Warehouse;Provide Warehouse;Provide Warehouse
Alternative Prod. BOM;Alternative Prod. BOM;Alternative Stückliste
Alternative Routing;Alternative Routing;Alternativer Arbeitsplan
Level Line No.;Level Line No.;Ebenen Zeilennr.
Posted Capacity;Posted Capacity;Gebuchte Kapazität
Capacity No.;Capacity No.;Kapazitäts Nr.
Subcontracting;Subcontracting;Fremdarbeit
Expected Capacity;Expected Capacity;Erwartete Kapazität
Main Operation;Main Operation;Haupt AG
OC Fixed;OC Fixed;OC Fixiert
OC Planned;OC Planned;OC Geplant
 ,planned; ,planned; ,geplant
OC Routing Status;OC Routing Status;OC Arbeitsplanstatus
Posted Quantity;Posted Quantity;Gebuchte Menge
Routing Line Vendor;Routing Line Vendor;Arbeitsgang Kreditor
Rtng Prev. Status;Rtng Prev. Status;Vorher. Status
Routing Tools;Routing Tools;Betriebsmittel
Supplied-by Line No.;Supplied-by Line No.;Beliefert von Zeilennr.
Scrap Quantity;Scrap Quantity;Ausschuss Menge
Lagerort;Lagerort;Lagerort
Tool Type;Tool Type;Art
This Function needs an Itemfilter.;This Function needs an Itemfilter.;Für diese Funktion muss ein Artikelfilter gesetzt sein.
The new Prod. Bom Version is created.\\Should this version be ativatet on item?;The new Prod. Bom Version is created.\\Should this version be ativatet on item?;Eine neue Stücklistenversion wurde erstellt.\\Soll diese Version im Artikel aktiviert werden?
Fert. Stückliste Herkunft;Fert. Stückliste Herkunft;Fert. Stückliste Herkunft
 ,Elfo Fertig.StLi,WZB Fertig.StLi; ,Elfo Fertig.StLi,WZB Fertig.StLi; ,Elfo Fertig.StLi,WZB Fertig.StLi
Newest Certified Version;Newest Certified Version;Neuste Zertifizierte Version
Newest Certified Version Date;Newest Certified Version Date;Neustes Zertifizierungsdatum
Diameter;Diameter;Durchmesser
Vendor Item No.;Vendor Item No.;Kreditoren Artikel Nr.
Vendor Name;Vendor Name;Kreditorenname
Es sind bereits alle Gebinde-Etiketten vorhanden. Trotzdem erstellen?;Es sind bereits alle Gebinde-Etiketten vorhanden. Trotzdem erstellen?;Es sind bereits alle Gebinde-Etiketten vorhanden. Trotzdem erstellen?
Wollen Sie wirklich %1 Gebinde-Etiketten erstellen?;Wollen Sie wirklich %1 Gebinde-Etiketten erstellen?;Wollen Sie wirklich %1 Gebinde-Etiketten erstellen?
